name,host_name,neighbourhood_group,neighbourhood,room_type,price,service_fee,minimum_nights,number_of_reviews,review_rate_number,availability_365
Boerum Hill Charming Studio,Masoud,Brooklyn,Boerum Hill,Entire home/apt,785.0,157.0,2,127,5.0,270
Beautiful home in Red Hook,Lorraine,Brooklyn,Red Hook,Entire home/apt,403.0,81.0,6,0,3.0,0
NYC like Home !,Elizabeth,Manhattan,Upper East Side,Entire home/apt,737.0,147.0,7,2,3.0,76
A quiet and spacious haven in the Lower East Side,Elliot,Manhattan,East Village,Private room,545.0,109.0,2,28,3.0,0
Modern One Bedroom w/Balcony & Amazing City Views,R. Scott,Manhattan,Washington Heights,Entire home/apt,299.0,60.0,30,44,4.0,144
Cozy Getaway Rental Home,Lourdes,Queens,Holliswood,Private room,682.0,136.0,3,11,4.0,135
Sunny 1.5 Bed Bushwick Brooklyn Railroad,Elizabeth,Brooklyn,Bushwick,Entire home/apt,493.0,99.0,2,10,2.0,15
J-NEW ROOM*NEAR CASINO*AIRPORT*CAFE*DOORSTEP METRO,Darry,Queens,South Ozone Park,Private room,327.0,65.0,4,2,4.0,365
Entire 2 Bedroom Elegant Suite w Modern Amenities,Akem & Terry,Brooklyn,Cypress Hills,Entire home/apt,1060.0,212.0,2,22,5.0,282
Home,Javi,Queens,Maspeth,Private room,238.0,48.0,1,1,2.0,178
Industrial Loft Living in NYC,Drew,Bronx,Mott Haven,Entire home/apt,178.0,36.0,4,5,3.0,0
UNTITLED at Freeman - Tower Balcony Studio 1305,Karen,Manhattan,Lower East Side,Entire home/apt,939.0,188.0,2,27,4.0,192
Master bedroom next to Prospect Park,Peter,Brooklyn,Park Slope,Private room,385.0,77.0,5,1,4.0,189
Private room in a 4 bedroom loft,Lea,Brooklyn,Bedford-Stuyvesant,Private room,420.0,84.0,2,3,3.0,0
Peaceful 2BR inside a brownstone,Parris,Brooklyn,Bedford-Stuyvesant,Private room,635.0,127.0,2,0,5.0,29
Heart of NYC Full Home! 3Beds.2BR.2Bath. Kitchen.,Nicole,Manhattan,Upper West Side,Entire home/apt,990.0,198.0,30,5,3.0,225
"Modern and bright 2Bed 2Bath Bushwick, Brooklyn",Ofier,Brooklyn,Bushwick,Entire home/apt,321.0,64.0,2,4,2.0,89
Cozy room in Brooklyn <3,Carmen,Brooklyn,Bedford-Stuyvesant,Private room,984.0,197.0,7,1,3.0,0
"Sunny, Quiet Home in Brooklyn's Best Area (Legal)",Viviana,Brooklyn,South Slope,Entire home/apt,379.0,76.0,3,152,3.0,28
"LOCATION/garden!(FEMALE only, next to girl's room)",Mitty,Brooklyn,Prospect Heights,Private room,1000.0,200.0,3,175,4.0,65
Furnished spacious  NYC studio,Stanley,Manhattan,Murray Hill,Entire home/apt,854.0,171.0,30,1,5.0,365
Calming Private BR in Ridgewood Woodbine 1R-3,Jocelyn,Queens,Ridgewood,Private room,381.0,76.0,30,0,4.0,323
Your home away from home in Comfort,Carlos,Queens,Briarwood,Private room,543.0,109.0,5,95,5.0,68
large serene room available in brooklyn duplex,Rachel,Brooklyn,Bedford-Stuyvesant,Private room,268.0,54.0,2,1,2.0,0
Private 2BR Renovated 2021@Queens Max4/Family okâ™ª,Shogo,Queens,Woodside,Entire home/apt,1074.0,215.0,1,14,4.0,27
4BR Brooklyn Apartment Minutes from City Life!,Evolve,Brooklyn,East Flatbush,Entire home/apt,336.0,67.0,2,1,5.0,0
Cozy Home w/Private Garden&Hot Tub!,Brandon,Manhattan,Chelsea,Entire home/apt,1023.0,205.0,4,73,2.0,45
Oasis in Kensington,Janine,Brooklyn,Kensington,Private room,544.0,109.0,3,8,1.0,56
"Beautiful 2 Bedroom Apartment Woodside, Queens, NY",Erfan,Queens,Woodside,Entire home/apt,952.0,190.0,2,93,5.0,34
REAL 1BR+ Entire Apt+ Pet ok+ Amazing location!!,Kiko,Manhattan,East Harlem,Entire home/apt,876.0,175.0,3,0,5.0,25
Beautiful 1 Bedroom apartment,Cheryl,Brooklyn,Crown Heights,Entire home/apt,1105.0,221.0,2,64,3.0,209
Modern Studio | Upscale | Kitchen + W/D | Midtown,Global Luxury Suites,Manhattan,Hell's Kitchen,Entire home/apt,508.0,102.0,30,3,5.0,349
